x,y
290.0,2444.9190768673343
289.95,2359.1380203554736
289.9,2329.391528690676
289.85,2336.089703406457
289.8,2457.3746357096898
289.75,2465.349206061293
289.7,2325.945472612668
289.65,2392.039303259633
289.6,2416.458216595397
289.55,2410.133161275057
289.5,2420.7540908390883
289.45,2426.5037278858354
289.4,2495.5122048146977
289.35,2403.2912580352627
289.3,2364.5972225208916
289.25,2469.185658431158
289.2,2330.00960635409
289.15,2416.297177266581
289.1,2390.981284199915
289.05,2501.5338676915662
289.0,2414.202667613922
288.95,2385.1605739551087
288.9,2429.05017450691
288.85,2476.3479608052025
288.8,2375.4950270541644
288.75,2438.783280881834
288.7,2416.8173613822614
288.65,2516.810352783404
288.6,2405.7467743204757
288.55,2484.7848856749392
288.5,2440.097959701218
288.45,2424.457694554651
288.4,2392.0441531606457
288.35,2396.328349897938
288.3,2413.4788322880695
288.25,2401.7061051385067
288.2,2376.824368202196
288.15,2513.477285061771
288.1,2435.598326130243
288.05,2582.95776847302
288.0,2434.661257193932
287.95,2528.710233323191
287.9,2447.268234507467
287.85,2426.931021415699
287.8,2475.925844844274
287.75,2521.8743853606998
287.7,2350.0131089143915
287.65,2508.699673500612
287.6,2543.408768278606
287.55,2481.1613211423664
287.5,2475.6461295777326
287.45,2507.614485069805
287.4,2464.5623204135336
287.35,2431.9643470815317
287.3,2530.2247836001598
287.25,2509.1706677045922
287.2,2415.385324711721
287.15,2437.472360532051
287.1,2443.08598822354
287.05,2355.163018720136
287.0,2442.321575140335
286.95,2402.267836336924
286.9,2527.519694060735
286.85,2476.1888173953903
286.8,2457.6233374622
286.75,2437.350362543086
286.7,2451.0500626047346
286.65,2581.4857144257053
286.6,2495.097004307409
286.55,2573.105843841269
286.5,2531.7930148105697
286.45,2484.0795196410063
286.4,2477.6564855730885
286.35,2585.995883712388
286.3,2528.6162255853174
286.25,2573.7279076632976
286.2,2515.73609286187
286.15,2442.5879292356376
286.1,2582.5374630910414
286.05,2577.1577241959935
286.0,2591.9775057867832
285.95,2511.399137200677
285.9,2583.699450601622
285.85,2542.206460076234
285.8,2654.0993976905593
285.75,2541.172848336851
285.7,2506.858923041295
285.65,2598.1696084945524
285.6,2656.240497948331
285.55,2619.759029920094
285.5,2534.1784435733484
285.45,2578.8388664877184
285.4,2598.828140228757
285.35,2600.2058974664556
285.3,2642.0372976659255
285.25,2697.564145849495
285.2,2635.936553541146
285.15,2496.2315209877997
285.1,2660.792218006576
285.05,2628.265903570335
285.0,2603.4550913247563
284.95,2629.679588941383
284.9,2585.880260293293
284.85,2779.526614913299
284.8,2712.2574859267543
284.75,2734.5193604174506
284.7,2671.9425530502795
284.65,2714.9032537560297
284.6,2805.4760322604175
284.55,2880.850166310948
284.5,2740.951288648416
284.45,2860.6088741153685
284.4,3043.5350761868817
284.35,2977.329006438414
284.3,3079.395586005599
284.25,3189.317579924786
284.2,3176.6126041482057
284.15,3297.3129046148756
284.1,3557.288305799859
284.05,3556.091760979531
284.0,3729.8892682638693
283.95,3853.593917713577
283.9,4095.284455750772
283.85,4223.5757999478
283.8,4478.9398368296115
283.75,4659.375612865963
283.7,4981.998243125192
283.65,5367.301170807956
283.6,5536.884888188114
283.55,5864.1852908510045
283.5,6164.985344839465
283.45,6470.471415905411
283.4,6874.553246968537
283.35,7074.374719456863
283.3,7332.085299413416
283.25,7449.314521452831
283.2,7770.575192516996
283.15,7915.630675574996
283.1,8084.002915661458
283.05,8011.478907313166
283.0,8079.040727163412
282.95,7897.524591807543
282.9,7791.888154945192
282.85,7587.342504914974
282.8,7323.709856007135
282.75,7197.600969995211
282.7,6923.812213756875
282.65,6528.727573822352
282.6,6316.588079540015
282.55,5949.632005356192
282.5,5708.789311222683
282.45,5321.704053276117
282.4,5053.68572129242
282.35,4670.217302763034
282.3,4497.636682420454
282.25,4200.552642446559
282.2,4051.8965416406413
282.15,3883.6376957943353
282.1,3687.0240670312983
282.05,3430.9391474985387
282.0,3421.822562316004
281.95,3252.749261024725
281.9,3128.9331320998945
281.85,3152.338511065931
281.8,3023.5030234653727
281.75,2911.3072647255112
281.7,2991.989896932818
281.65,2866.597977872531
281.6,2703.8833565095306
281.55,2790.695726288514
281.5,2744.8475292611106
281.45,2644.4215462844563
281.4,2651.024784711312
281.35,2641.640105451755
281.3,2592.9063165511934
281.25,2598.7652480585257
281.2,2559.098768202652
281.15,2610.6233655256406
281.1,2510.1033676122406
281.05,2567.9223029401364
281.0,2537.291413556794
280.95,2507.06668048296
280.9,2524.773719892874
280.85,2555.3787286588886
280.8,2442.4039701385054
280.75,2471.0481531865876
280.7,2547.791392103582
280.65,2451.8302854855106
280.6,2485.082448027265
280.55,2437.5511526752334
280.5,2415.9410297464465
280.45,2532.269852271128
280.4,2457.0784096299058
280.35,2422.6045754865168
280.3,2398.451869486055
280.25,2485.181578092462
280.2,2473.0143653851446
280.15,2460.7367489227
280.1,2335.546887449127
280.05,2450.4738640269734
280.0,2403.570053897786
279.95,2426.7963555837173
279.9,2352.123291877674
279.85,2393.89842482398
279.8,2439.057360699783
279.75,2440.0196120049923
279.7,2333.2014264949116
279.65,2397.427346786609
279.6,2401.6267000810712
279.55,2494.1786321047025
279.5,2451.9723134333353
279.45,2438.5660364546175
279.4,2343.848571932054
279.35,2406.9635542970627
279.3,2459.098618132545
279.25,2519.206041384706
279.2,2487.155122636071
279.15,2342.5397254305
279.1,2447.8578362910757
279.05,2453.4530309968677
279.0,2489.208411871128
278.95,2436.847674624696
278.9,2415.290842884354
278.85,2380.000035832327
278.8,2378.203026449175
278.75,2459.6725064702096
278.7,2352.5240791685865
278.65,2421.6819789752567
278.6,2457.8591624810374
278.55,2379.7040993127625
278.5,2507.3513648426906
278.45,2448.9373974966975
278.4,2377.8957622929393
278.35,2366.169053888605
278.3,2358.5014102728223
278.25,2364.005686454702
278.2,2411.800409499926
278.15,2458.9000928298587
278.1,2389.6302033462866
278.05,2380.4984921369664
278.0,2343.261627250359
