base,base,base,base,bg,peak,peak,peak
x,y_raw,y_bg,y_fit,pybaselines_beads,A1,A2,A3
49.98934221312334,0.1777775740568641,0.1780305294764488,0.18532499559834306,0.1780305294764488,3.0888785663211545e-07,0.0010157818769686562,0.006278375357068985
50.08934221312334,0.166409425175572,0.17814489820780183,0.1854799354917449,0.17814489820780183,3.3755452018168315e-07,0.0010209875818311107,0.006313712147591774
50.18934221312334,0.1624627340446263,0.17825932699985927,0.18563533013084485,0.17825932699985927,3.688534002212957e-07,0.0010262336505933818,0.006349400626991981
50.289342213123334,0.1560172557589011,0.1783738175049284,0.18579118733352423,0.1783738175049284,4.030156768949193e-07,0.0010315205042364492,0.006385446308682484
50.389342213123335,0.1775134327317493,0.17848836946076863,0.18594751314337762,0.17848836946076863,4.4029178222434037e-07,0.0010368485692790798,0.006421854821547684
50.48934221312334,0.1573054830405246,0.17860298186194556,0.18610431300536176,0.17860298186194556,4.809529061354389e-07,0.0010422182778660456,0.00645863191264402
50.58934221312334,0.1679306345491225,0.1787176552633674,0.1862615940737981,0.1787176552633674,5.25292611701795e-07,0.0010476300678580006,0.006495783449961021
50.68934221312334,0.1531479153475521,0.17883239056144687,0.18641936399818113,0.17883239056144687,5.736285667977623e-07,0.0010530843829230443,0.006533315425244424
50.789342213123334,0.1543139019638684,0.17894718890797118,0.18657763084188317,0.17894718890797118,6.263043997676109e-07,0.0010585816726300182,0.006571233956882199
50.889342213123335,0.1811095819132782,0.1790620494251421,0.18673640080222734,0.1790620494251421,6.836916871511591e-07,0.0010641223925435628,0.00660954529285454
50.98934221312334,0.1783264137724258,0.1791769688609229,0.18689567787107503,0.1791769688609229,7.461920819597373e-07,0.0010697070043209779,0.006648255813749184
51.08934221312334,0.1754241835467227,0.17929194608683802,0.18705546833808342,0.17929194608683802,8.142395914703441e-07,0.0010753359758109312,0.006687372035843015
51.18934221312334,0.1929275723928504,0.1794069805674434,0.18721577926586266,0.1794069805674434,8.88303014000457e-07,0.0010810097811540442,0.006726900614251217
51.289342213123334,0.1841618445556818,0.17952207085743851,0.1873766169930135,0.17952207085743851,9.68888544642041e-07,0.0010867289008854109,0.006766848346144921
51.389342213123335,0.15724425550193,0.17963721868543667,0.18753799122407497,0.17963721868543667,1.056542560471138e-06,0.0010924938220390759,0.00680722217403876
51.48934221312334,0.1847864170058223,0.179752426307394,0.1876999123893942,0.179752426307394,1.1518545963093813e-06,0.001098305038254527,0.00684802918914939
51.58934221312334,0.1562360797493958,0.17986769375655196,0.18786238890178586,0.17986769375655196,1.2554605226965917e-06,0.0011041630498852505,0.006889276634825944
51.68934221312334,0.1778575618812033,0.1799830215788565,0.18802542989895818,0.1799830215788565,1.3680459383391298e-06,0.001110068364109373,0.006930971910053966
51.789342213123334,0.16166658069998,0.18009840989296028,0.18818904431082623,0.18009840989296028,1.4903497899277152e-06,0.0011160214950424712,0.006973122573033562
51.889342213123335,0.1684447016543785,0.1802138589825415,0.18835324145946036,0.1802138589825415,1.6231682328710497e-06,0.0011220229638525625,0.0070157363448334195
51.98934221312334,0.1717634369540294,0.18032936882299827,0.18851803059374403,0.18032936882299827,1.767358747167755e-06,0.001128073298877349,0.007058821113121234
52.08934221312334,0.162747515907631,0.1804449391851946,0.1886834210014342,0.1804449391851946,1.9238445233398186e-06,0.0011341730357437598,0.007102384935972484
52.18934221312334,0.1710329178132985,0.1805605704773128,0.18884942285969472,0.1805605704773128,2.0936191340748518e-06,0.0011403227174898386,0.007146436045758016
52.289342213123334,0.1716983175824564,0.18067626224018954,0.18901604573949862,0.18067626224018954,2.2777515079732917e-06,0.001146522894689037,0.007190982853112084
52.389342213123335,0.1781392487676983,0.1807920134645325,0.18918329893231373,0.1807920134645325,2.477391222569282e-06,0.0011527741255769619,0.0072360339509816895
52.48934221312334,0.1333830146069228,0.18090782616537968,0.18935119503445358,0.18090782616537968,2.693774134590331e-06,0.0011590769761806383,0.007281598118758681
52.58934221312334,0.1911504180989357,0.18102370195696743,0.18951974653227954,0.18102370195696743,2.92822836624172e-06,0.0011654320204503403,0.007327684326495529
