base,base,base,base,bg,peak,peak,peak,peak
x,y_raw,y_bg,y_fit,pybaselines_beads,A,B,C,D
50.0,0.1463389029193058,0.14668997739657721,0.15482419712913092,0.14668997739657721,0.00273664548094342,0.003403973752454566,0.0016685655722374513,0.00032503492691827367
50.1,0.1690422715355641,0.14695326906306558,0.1551077123639877,0.14695326906306558,0.002747785283989466,0.0034105916254734397,0.0016707059442856553,0.0003253604471735684
50.2,0.1422834888719921,0.14721659623923283,0.15539135560327544,0.14721659623923283,0.0027589935795307797,0.0034172288748040916,0.0016728504528999832,0.00032568645680773893
50.3,0.1563202401673516,0.1474799608691538,0.1556751294441663,0.1474799608691538,0.002770270933038069,0.0034238855763867515,0.0016749991087851989,0.0003260129568024873
50.4,0.1676376296394551,0.14774336192247783,0.15595903351569543,0.14774336192247783,0.002781617915859642,0.003430561806535136,0.0016771519226808386,0.00032633994814197805
50.5,0.1520303399019201,0.14800679752817994,0.15624306661258802,0.14800679752817994,0.002793035105295239,0.0034372576419386507,0.0016793089053613426,0.0003266674318128473
50.6,0.1568591622670463,0.1482702693487234,0.15652723106949942,0.1482702693487234,0.0028045230846709913,0.003443973159664629,0.0016814700676361929,0.00032699540880420946
50.7,0.1624763413490861,0.14853377758924757,0.15681152777028132,0.14853377758924757,0.0028160824434154473,0.0034507084371605667,0.0016836354203500533,0.0003273238801076647
50.8,0.1728764828080113,0.14879731980395505,0.15709595495444842,0.14879731980395505,0.00282771377713676,0.003457463552256388,0.0016858049743829044,0.00032765284671730646
50.9,0.1518986247471815,0.14906089561456054,0.15738051293570818,0.14906089561456054,0.002839417687701006,0.003464238583166714,0.0016879787406501828,0.00032798230962972924
51.0,0.1697406223763996,0.1493245065211754,0.15766520391292718,0.1493245065211754,0.0028511947833116734,0.0034710336084931557,0.0016901567301029197,0.0003283122698440358
51.1,0.1643989047908369,0.14958815172622342,0.15795002779413012,0.14958815172622342,0.002863045678590337,0.003477848707226625,0.0016923389537278817,0.00032864272836184504
51.2,0.1674603389534776,0.14985183034635274,0.15823498440849595,0.14985183034635274,0.0028749709946585427,0.0034846839587496506,0.0016945254225477144,0.00032897368618729967
51.3,0.1739595475724879,0.15011554177790098,0.15852007387190878,0.15011554177790098,0.0028869713592209164,0.00349153944283872,0.0016967161476210764,0.0003293051443270733
51.4,0.1668608642145671,0.1503792852518824,0.15880529614203173,0.1503792852518824,0.00289904740664953,0.0034984152396666367,0.0016989111400427855,0.00032963710379037856
51.5,0.1649448537230024,0.15064306182223589,0.15909065300664324,0.15064306182223589,0.0029111997780695274,0.0035053114298048867,0.0017011104109439616,0.00032996956558897474
51.6,0.1646836844800405,0.15090687269616082,0.15937614641406225,0.15090687269616082,0.0029234291214460485,0.0035122280942260333,0.0017033139714921698,0.0003303025307371756
51.7,0.1664547919223309,0.15117071804582582,0.15966177728494782,0.15117071804582582,0.0029357360916724713,0.003519165314306117,0.0017055218328915621,0.0003306360002518568
51.8,0.148974635702222,0.15143459936875972,0.1599475478727823,0.15143459936875972,0.0029481213506599917,0.003526123171827083,0.0017077340063830213,0.0003309699751524641
